id;en;ru
Main_SelectMode;Mode select;Выбор режима
Main_Info;Info;Справочник
Main_Options;Options;Настройки
Main_Quit;Quit;Выход
GameModes_Title;GAMEMODES;ИГРОВЫЕ РЕЖИМЫ
GameModes_Mode1;Simulation;Симуляция
GameModes_Mode2;Compression training;Тренирока компрессий
GameModes_Mode3;Quiz;Викторина
GameModes_Back;Back;Назад
GameModes_Description1;Learn and perfect the CPR algorithm by providing assistance to a virtual patient;Изучайте и совершенствуйте алгоритм СЛР, оказывая помощь виртуальному пациенту
GameModes_Description2;Train your compression skills;Тренируйте свои навыки компрессии
GameModes_Description3;Answer the CPR test questions to consolidate the theory;Ответьте на тестовые вопросы СЛР, чтобы закрепить теорию
Info_Title;Info;Справочник
Info_Algorithm;CPR algorithm;Алгоритм СЛР
Info_Nuances;The nuances of CPR algorithm;Особенности и проблемы при выполнении СЛР
Info_Back;Back;Назад
Algorithm_Previous;Previous;Предыдущий
Algorithm_Next;Next;Следующий
Algorithm_Back;Back;Назад
Algorithm_Step1;Step 1: Make sure you, the victim and others are safe. Eliminate possible risks if it is possible. As possible risks, there may be bare wires, broken glass, moving vehicles, aggressive people, etc.);Этап 1: Убедиться в безопасности для себя, больного и окружающих. Устранить возможные риски. В качестве возможных рисков могут быть, оголенные провода, битое стекло, движущийся транспорт, агрессивно настроенные люди и т.д.)
Algorithm_Step2;Step 2: Check the patient's reaction: gently shake him by the shoulders and ask loudly: “What happened to you?” If the patient reacts, leave him in the same position, try to find out the reasons for what is happening and call for help, regularly assess the patient's condition.;Этап 2: Проверить реакцию больного: аккуратно встряхнуть его за плечи и громко спросить: “Что с Вами?” Если больной реагирует – оставить его в том же положении, попытаться выяснить причины происходящего и позвать на помощь, регулярно оценивать состояние больного.
Algorithm_Step3;Step 3: If the patient does not react, it is necessary to turn him on his back and open the airways by tilting his head and pulling up his chin. You need to press his forehead with your hand, and pull up his chin with the other hand.;Этап 3: Если больной не реагирует его необходимо повернуть на спину и открыть дыхательные пути путем запрокидывания головы и подтягивания подбородка. Рукой нужно надавить на лоб, а другой рукой подтянуть подбородок.
Algorithm_Step4;Step 4: Keeping the airways open, it is necessary to see, hear and/or feel normal breathing, observing the movements of the chest, listening to the sound of breathing and feeling the movement of air on your cheek. The examination should be continued for no more than 10 seconds.;Этап 4: Поддерживая дыхательные пути открытыми, необходимо увидеть, услышать и почувствовать нормальное дыхание, наблюдая за движениями грудной клетки, прислушиваясь к шуму дыхания и ощущая движение воздуха на своей щеке. Исследование продолжать не более 10 сек.
Algorithm_Step5;Step 5: Make a decision: is breathing  normal, abnormal or absent? If there are doubts about the nature of breathing, behave as if the breathing is agonal. If the patient is breathing normally, place him in a safe position, call an ambulance, regularly assess the condition and the presence of normal breathing. Lack of consciousness and breathing (or agonal breathing) – signs of circulatory arrest and indications for the beginning of CPR.;Этап 5: Принять решение: дыхание нормальное, ненормальное или отсутствует. Если возникают сомнения в характере дыхания – вести себя так, как будто дыхание агональное. Если больной дышит нормально – поместить его в безопасное положение, вызвать скорую помощь, регулярно оценивать состояние и наличие нормального дыхания. Отсутствие сознания и дыхания (или агональное дыхание) – признаки остановки кровообращения и показания к началу СЛР.
Algorithm_Step6;Step 6: If the patient has agonal breathing or it is absent, ask others to call for help (ambulance, resuscitators) and bring an automatic external defibrillator (AED) or do it yourself.;Этап 6: Если у больного агональное дыхание или оно отсутствует – попросить окружающих вызвать помощь (скорая помощь, врачи-реаниматологи) и принести автоматический наружный дефибриллятор (АНД) или сделать это самостоятельно.
Algorithm_Step7.1;Step 7.1: Performing chest compression consists of the following steps:\nKneel on the side of the patient and place the base of one palm on the center of the patient's chest. Place the base of the other palm on top of the first palm, lock the fingers and bend the arms at the elbow joints.;Этап 7.1: Выполнение компрессии грудной клетки состоит из следующих действий:\nВстать на колени сбоку от больного и расположить основание одной ладони на центре грудной клетки больного. Расположить основание другой ладони поверх первой ладони, сомкнуть пальцы рук в замок и выгнуть руки в локтевых суставах.
